date,open,high,low,close,volume
2016-01-04,188.1247,188.6314,186.3419,188.6212,222353534
2016-01-05,188.9786,189.4477,187.7118,188.941,110845849
2016-01-06,186.1073,187.7212,185.4129,186.5577,152112604
2016-01-07,183.2829,185.2628,181.6502,182.0819,213436073
2016-01-08,183.1516,183.7709,179.7642,180.0861,209817228
2016-01-11,181.106,181.4813,178.1128,180.2615,187941323
2016-01-12,181.8661,182.551,179.3513,181.7167,172330490
2016-01-13,182.4572,182.8419,176.7616,177.1838,221168886
2016-01-14,177.8594,181.3406,176.086,180.0926,240795609
2016-01-15,175.2509,177.1181,174.078,176.2267,324846447
2016-01-19,178.2441,178.3849,174.716,176.4613,195244373
2016-01-20,173.6182,175.9311,169.8555,174.1999,286547839
2016-01-21,174.7254,177.2213,173.2522,175.1758,195772941
2016-01-22,178.0752,178.9948,177.2307,178.7696,168319598
2016-01-25,178.2066,178.4224,175.8514,176.0672,130371686
2016-01-26,176.7991,178.779,176.4238,178.4693,141036757
2016-01-27,177.8876,179.7454,175.523,176.527,185681707
2016-01-28,178.2441,178.4693,175.6168,177.4465,143798780
2016-01-29,178.3004,181.9223,178.1691,181.773,210529336
2016-02-01,180.6556,182.5792,180.0082,181.7065,136061564
2016-02-02,180.1208,180.1302,177.85,178.4318,182564890
2016-02-03,179.6047,179.9519,175.5605,179.5015,205054934
2016-02-04,178.9479,180.862,178.2441,179.783,139531794
2016-02-05,179.2106,179.8483,175.6543,176.3581,180788308
2016-02-08,174.3125,174.641,171.5257,173.9841,191526694
2016-02-09,172.0512,175.4104,171.901,173.9935,184513136
2016-02-10,174.9131,176.724,173.7026,173.8434,148214057
2016-02-11,171.0941,172.7455,169.9212,171.582,219058885
2016-02-12,173.5525,175.1383,172.6142,175.1195,127632393
2016-02-16,177.1275,178.1034,176.0578,178.0752,120250668
2016-02-17,179.3701,181.3969,179.2294,180.984,136009496
2016-02-18,181.2843,181.35,179.8956,180.2428,102342997
2016-02-19,179.3795,180.3272,178.7039,180.1583,114792988
2016-02-22,181.913,182.9264,181.8379,182.7668,103640292
2016-02-23,182.035,182.3352,180.3272,180.4586,111455289
2016-02-24,178.8728,181.5939,177.6436,181.2843,150812152
2016-02-25,181.7816,183.4894,180.9371,183.48,110728317
2016-02-26,184.4464,184.5497,182.8794,183.057,129833663
2016-02-29,183.0765,184.1274,181.4063,181.6221,125918102
2016-03-01,182.9827,185.9853,182.4611,185.8915,141799687
